term, ballmer01.txt, ballmer02.txt, ballmer03.txt, ballmer04.txt, ballmer05.txt, ballmer06.txt, ballmer07.txt
the, 0.559615787935, 0.0, 0.559615787935, 0.559615787935, 0.0, 0.559615787935, 0.0
worlds, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
largest, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
software, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
maker, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
microsoft, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
ceo, 0.0, 0.847297860387, 0.423648930194, 0.847297860387, 0.0, 0.0, 0.0
steve, 0.0, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0
ballmer, 0.0, 0.847297860387, 0.423648930194, 0.0, 0.847297860387, 0.0, 0.0
resigned, 0.0, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0
from, 0.0, 1.2527629685, 0.626381484248, 0.0, 0.0, 0.0, 0.0
its, 0.0, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0
board, 0.0, 1.94591014906, 0.0, 0.0, 0.0, 0.0, 0.0
yearold, 0.0, 0.0, 0.626381484248, 1.2527629685, 0.0, 0.0, 0.0
retired, 0.0, 0.0, 0.972955074528, 0.0, 0.0, 0.0, 0.0
his, 0.0, 0.0, 0.972955074528, 0.0, 0.0, 0.0, 0.0
position, 0.0, 0.0, 0.972955074528, 0.0, 0.0, 0.0, 0.0
as, 0.0, 0.0, 0.972955074528, 0.0, 0.0, 0.0, 0.0
satya, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0, 0.0
nadella, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0, 0.0
was, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0, 0.0
named, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0, 0.0
new, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0, 0.0
said, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
it, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
would, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
give, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
him, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
more, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
time, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0, 0.0
he, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
recently, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
acquired, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
a, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
basketball, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
team, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
clippers, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
for, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
billion, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906, 0.0
revenues, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
increased, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
threefold, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
during, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
ballmers, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
tenure, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.94591014906
